trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
719,2,-6,62,1,fault,00000000,0d851b0b7e922027e404d062b87196a2,0x0b1b850d,0x2720927e,0x62d004e4,0xa29671b8,3810002268050222,3810002264000022,3,4;5;6,0c;05;02
720,2,-6,62,1,normal,00000000,eb87fe940c5227cdc73ef57b4fefbaef,0x94fe87eb,0xcd27520c,0x7bf53ec7,0xefbaef4f,0c4222cd8c936bdd,0c4222cd8c936bdd,0,,
721,2,-6,62,1,fault,00000000,b16f6047626826395b0b20aba9648fef,0x47606fb1,0x39266862,0xab200b5b,0xef8f64a9,20600629f267006d,2060062942082029,4,4;5;6;7,b0;6f;20;44
722,2,-6,62,1,fault,00000000,4a357b499afeca76cecfab2be5e253fa,0x497b354a,0x76cafe9a,0x2babcfce,0xfa53e2e5,80e2427280ebf263,80e242728ace8a22,4,4;5;6;7,0a;25;78;41
723,2,-6,62,1,fault,00000000,a357538c8d6c85fb13a56128221b22f2,0x8c5357a3,0xfb856c8d,0x2861a513,0xf2221b22,000800f2203242a0,000800f201240128,4,4;5;6;7,21;16;43;88
724,2,-6,62,1,fault,00000000,896eeabd0df33df946e33e7b154fb0fe,0xbdea6e89,0xf93df30d,0x7b3ee346,0xfeb04f15,054330f805cfb6fc,08b00d011c3d9b47,8,0;1;2;3;4;5;6;7,0d;f3;3d;f9;19;f2;2d;bb
725,2,-6,62,1,fault,00000000,6a3700661db85f4eae354d6043d5719a,0x6600376a,0x4e5fb81d,0x604d35ae,0x9a71d543,0190510a64104d22,0190510a0c304d40,3,4;5;7,68;20;62
726,2,-6,62,1,normal,00000000,fe072914dca5eef3b3fb45c0abccc363,0x142907fe,0xf3eea5dc,0xc045fbb3,0x63c3ccab,8884c26388a644c0,8884c26388a644c0,0,,
727,2,-6,62,1,fault,00000000,491cd69b5a34334f77ecc8888faab73b,0x9bd61c49,0x4f33345a,0x88c8ec77,0x3bb7aa8f,0a20330b1a20569b,0a20330b52240008,4,4;5;6;7,48;04;56;93
728,2,-6,62,1,normal,00000000,2f56f5babe90f9f9482844ce159276f0,0xbaf5562f,0xf9f990be,0xce442848,0xf0769215,149070f0051270f2,149070f0051270f2,0,,
