trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,-35,-20,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-20,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-20,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-20,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-20,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-18,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-18,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-18,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-18,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-18,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-16,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-16,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-16,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-16,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-16,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-14,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-14,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-14,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-14,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-14,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-12,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-12,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-12,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-12,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-12,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-10,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-10,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-10,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-10,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-10,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-8,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-8,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-8,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-8,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-8,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-6,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-6,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-6,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-6,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-6,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-4,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-4,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-4,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-4,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-4,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,-2,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,-2,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,-2,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,-2,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,-2,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,0,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,0,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,0,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,0,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,0,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,2,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,2,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,2,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,2,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,2,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,4,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,4,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,4,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,4,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,4,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,6,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,6,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,6,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,6,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,6,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,8,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,8,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,8,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,8,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,8,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,10,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,10,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,10,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,10,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,10,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,12,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,12,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,12,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,12,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,12,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,14,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,14,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,14,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,14,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,14,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,16,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,16,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,16,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,16,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,16,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,18,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,18,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,18,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,18,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,18,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,20,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,20,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,20,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,20,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,20,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,22,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,22,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,22,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,22,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,22,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,24,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,24,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,24,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,24,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,24,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,26,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,26,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,26,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,26,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,26,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,28,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,28,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,28,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,28,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,28,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,30,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,30,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,30,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,30,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,30,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,32,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,32,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,32,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,32,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,32,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,34,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,34,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,34,30,1,normal,010716050d031201,010716050d031201,0,
4,-35,34,30,1,normal,010716050d031201,010716050d031201,0,
5,-35,34,30,1,normal,010716050d031201,010716050d031201,0,
1,-35,36,30,1,normal,010716050d031201,010716050d031201,0,
2,-35,36,30,1,normal,010716050d031201,010716050d031201,0,
3,-35,36,30,1,normal,010716050d031201,010716050d031201,0,
