width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
-10,12,62,1,normal,010706050d030201,010706050d030201,0,
-10,12,63,1,normal,010706050d030201,010706050d030201,0,
-10,12,64,1,normal,010706050d030201,010706050d030201,0,
-10,12,65,1,normal,010706050d030201,010706050d030201,0,
-10,12,66,1,normal,010706050d030201,010706050d030201,0,
-10,12,67,1,normal,010706050d030201,010706050d030201,0,
-10,12,68,1,normal,010706050d030201,010706050d030201,0,
-10,12,69,1,normal,010706050d030201,010706050d030201,0,
-10,13,62,1,normal,010706050d030201,010706050d030201,0,
-10,13,63,1,normal,010706050d030201,010706050d030201,0,
-10,13,64,1,fault,010706050d030201,040302010d030201,4,0;1;2;3
-10,13,65,1,normal,010706050d030201,010706050d030201,0,
-10,13,66,1,normal,010706050d030201,010706050d030201,0,
-10,13,67,1,fault,010706050d030201,0007060508070605,5,0;4;5;6;7
-10,13,68,1,normal,010706050d030201,010706050d030201,0,
-10,13,69,1,normal,010706050d030201,010706050d030201,0,
-10,14,62,1,normal,010706050d030201,010706050d030201,0,
-10,14,63,1,normal,010706050d030201,010706050d030201,0,
-10,14,64,1,fault,010706050d030201,040302010d030201,4,0;1;2;3
-10,14,65,1,normal,010706050d030201,010706050d030201,0,
-10,14,66,1,normal,010706050d030201,010706050d030201,0,
-10,14,67,1,fault,010706050d030201,0007060508070605,5,0;4;5;6;7
-10,14,68,1,normal,010706050d030201,010706050d030201,0,
-10,14,69,1,normal,010706050d030201,010706050d030201,0,
-10,15,62,1,normal,010706050d030201,010706050d030201,0,
-10,15,63,1,normal,010706050d030201,010706050d030201,0,
-10,15,64,1,normal,010706050d030201,010706050d030201,0,
-10,15,65,1,normal,010706050d030201,010706050d030201,0,
-10,15,66,1,normal,010706050d030201,010706050d030201,0,
-10,15,67,1,normal,010706050d030201,010706050d030201,0,
-10,15,68,1,normal,010706050d030201,010706050d030201,0,
-10,15,69,1,normal,010706050d030201,010706050d030201,0,
-10,16,62,1,normal,010706050d030201,010706050d030201,0,
-10,16,63,1,normal,010706050d030201,010706050d030201,0,
-10,16,64,1,normal,010706050d030201,010706050d030201,0,
-10,16,65,1,normal,010706050d030201,010706050d030201,0,
-10,16,66,1,normal,010706050d030201,010706050d030201,0,
-10,16,67,1,normal,010706050d030201,010706050d030201,0,
-10,16,68,1,normal,010706050d030201,010706050d030201,0,
-10,16,69,1,normal,010706050d030201,010706050d030201,0,
-2,12,62,1,normal,010706050d030201,010706050d030201,0,
-2,12,63,1,normal,010706050d030201,010706050d030201,0,
-2,12,64,1,normal,010706050d030201,010706050d030201,0,
-2,12,65,1,normal,010706050d030201,010706050d030201,0,
-2,12,66,1,normal,010706050d030201,010706050d030201,0,
-2,12,67,1,normal,010706050d030201,010706050d030201,0,
-2,12,68,1,normal,010706050d030201,010706050d030201,0,
-2,12,69,1,normal,010706050d030201,010706050d030201,0,
-2,13,62,1,normal,010706050d030201,010706050d030201,0,
-2,13,63,1,normal,010706050d030201,010706050d030201,0,
-2,13,64,1,normal,010706050d030201,010706050d030201,0,
-2,13,65,1,normal,010706050d030201,010706050d030201,0,
-2,13,66,1,normal,010706050d030201,010706050d030201,0,
-2,13,67,1,normal,010706050d030201,010706050d030201,0,
-2,13,68,1,no_response,010706050d030201,,0,
-2,13,69,1,normal,010706050d030201,010706050d030201,0,
-2,14,62,1,normal,010706050d030201,010706050d030201,0,
-2,14,63,1,normal,010706050d030201,010706050d030201,0,
-2,14,64,1,normal,010706050d030201,010706050d030201,0,
-2,14,65,1,normal,010706050d030201,010706050d030201,0,
-2,14,66,1,normal,010706050d030201,010706050d030201,0,
-2,14,67,1,normal,010706050d030201,010706050d030201,0,
-2,14,68,1,normal,010706050d030201,010706050d030201,0,
-2,14,69,1,normal,010706050d030201,010706050d030201,0,
-2,15,62,1,normal,010706050d030201,010706050d030201,0,
-2,15,63,1,fault,010706050d030201,040302010d030201,4,0;1;2;3
-2,15,64,1,fault,010706050d030201,0403020109030a09,7,0;1;2;3;4;6;7
-2,15,65,1,normal,010706050d030201,010706050d030201,0,
-2,15,66,1,fault,010706050d030201,0007060508070605,5,0;4;5;6;7
-2,15,67,1,normal,010706050d030201,010706050d030201,0,
-2,15,68,1,normal,010706050d030201,010706050d030201,0,
-2,15,69,1,fault,010706050d030201,0403020101030201,5,0;1;2;3;4
-2,16,62,1,normal,010706050d030201,010706050d030201,0,
-2,16,63,1,fault,010706050d030201,040302010d030201,4,0;1;2;3
-2,16,64,1,normal,010706050d030201,010706050d030201,0,
-2,16,65,1,normal,010706050d030201,010706050d030201,0,
-2,16,66,1,fault,010706050d030201,0007060508070605,5,0;4;5;6;7
-2,16,67,1,normal,010706050d030201,010706050d030201,0,
-2,16,68,1,normal,010706050d030201,010706050d030201,0,
-2,16,69,1,fault,010706050d030201,0403020101030201,5,0;1;2;3;4
2,12,62,1,normal,010706050d030201,010706050d030201,0,
2,12,63,1,normal,010706050d030201,010706050d030201,0,
2,12,64,1,normal,010706050d030201,010706050d030201,0,
2,12,65,1,normal,010706050d030201,010706050d030201,0,
2,12,66,1,normal,010706050d030201,010706050d030201,0,
2,12,67,1,normal,010706050d030201,010706050d030201,0,
