trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
2,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
3,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
4,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
5,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
6,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
7,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
8,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
9,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
10,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
11,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
12,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
13,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
14,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
15,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
16,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
17,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
18,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
19,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
20,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
21,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
22,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
23,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
24,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
25,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
26,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
27,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
28,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
29,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
30,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
31,1,-28,64,1,normal,010607050d020301,010607050d020301,0,
