trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,2,-6,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-6,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-6,62,1,fault,010607050d020301,0106070509020301,1,4
4,2,-6,62,1,normal,010607050d020301,010607050d020301,0,
5,2,-6,62,1,normal,010607050d020301,010607050d020301,0,
6,2,-6,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-6,62,1,normal,010607050d020301,010607050d020301,0,
8,2,-6,62,1,fault,010607050d020301,0800000014080808,8,0;1;2;3;4;5;6;7
9,2,-6,62,1,fault,010607050d020301,0800000014080808,8,0;1;2;3;4;5;6;7
10,2,-6,62,1,fault,010607050d020301,0106070505000100,4,4;5;6;7
1,2,-5,62,1,fault,010607050d020301,0106070509020301,1,4
2,2,-5,62,1,fault,010607050d020301,0106070509020301,1,4
3,2,-5,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-5,62,1,fault,010607050d020301,08000000080c0c0c,8,0;1;2;3;4;5;6;7
5,2,-5,62,1,fault,010607050d020301,0106070509020301,1,4
6,2,-5,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-5,62,1,fault,010607050d020301,0106070509020301,1,4
8,2,-5,62,1,fault,010607050d020301,0106070509020301,1,4
9,2,-5,62,1,fault,010607050d020301,0106070509020301,1,4
10,2,-5,62,1,fault,010607050d020301,0106070509020301,1,4
1,2,-4,62,1,no_response,010607050d020301,,0,
2,2,-4,62,1,no_response,010607050d020301,,0,
3,2,-4,62,1,fault,010607050d020301,0106070509020301,1,4
4,2,-4,62,1,no_response,010607050d020301,,0,
5,2,-4,62,1,no_response,010607050d020301,,0,
6,2,-4,62,1,no_response,010607050d020301,,0,
7,2,-4,62,1,fault,010607050d020301,0106070509020301,1,4
8,2,-4,62,1,fault,010607050d020301,0106070509020301,1,4
9,2,-4,62,1,normal,010607050d020301,010607050d020301,0,
10,2,-4,62,1,fault,010607050d020301,0106070509020301,1,4
1,2,-3,62,1,no_response,010607050d020301,,0,
2,2,-3,62,1,no_response,010607050d020301,,0,
3,2,-3,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-3,62,1,normal,010607050d020301,010607050d020301,0,
