trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,3,0,63,1,normal,010607050d020301,010607050d020301,0,
2,3,0,63,1,normal,010607050d020301,010607050d020301,0,
3,3,0,63,1,normal,010607050d020301,010607050d020301,0,
4,3,0,63,1,normal,010607050d020301,010607050d020301,0,
5,3,0,63,1,normal,010607050d020301,010607050d020301,0,
6,3,0,63,1,normal,010607050d020301,010607050d020301,0,
7,3,0,63,1,normal,010607050d020301,010607050d020301,0,
8,3,0,63,1,normal,010607050d020301,010607050d020301,0,
9,3,0,63,1,normal,010607050d020301,010607050d020301,0,
10,3,0,63,1,normal,010607050d020301,010607050d020301,0,
1,3,1,63,1,normal,010607050d020301,010607050d020301,0,
2,3,1,63,1,normal,010607050d020301,010607050d020301,0,
3,3,1,63,1,normal,010607050d020301,010607050d020301,0,
4,3,1,63,1,normal,010607050d020301,010607050d020301,0,
5,3,1,63,1,normal,010607050d020301,010607050d020301,0,
6,3,1,63,1,normal,010607050d020301,010607050d020301,0,
7,3,1,63,1,normal,010607050d020301,010607050d020301,0,
8,3,1,63,1,normal,010607050d020301,010607050d020301,0,
9,3,1,63,1,normal,010607050d020301,010607050d020301,0,
10,3,1,63,1,normal,010607050d020301,010607050d020301,0,
1,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
2,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
3,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
4,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
5,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
6,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
7,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
8,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
9,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
10,4,-4,63,1,normal,010607050d020301,010607050d020301,0,
1,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
2,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
3,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
4,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
5,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
6,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
7,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
8,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
9,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
10,4,-3,63,1,normal,010607050d020301,010607050d020301,0,
1,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
2,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
3,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
4,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
5,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
6,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
7,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
8,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
9,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
10,4,-2,63,1,normal,010607050d020301,010607050d020301,0,
1,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
2,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
3,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
4,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
5,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
6,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
7,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
8,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
9,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
10,4,-1,63,1,normal,010607050d020301,010607050d020301,0,
1,4,0,63,1,normal,010607050d020301,010607050d020301,0,
2,4,0,63,1,normal,010607050d020301,010607050d020301,0,
