trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,2,-3,63,10,no_response,a13bf811,5bd9874157b2affbaa56116514e5d884,0x4187d95b,0xfbafb257,0x651156aa,0x84d8e514,b59b7091b9b87831,,0,,
2,2,-3,63,10,no_response,de68892c,5b221f48db51937d188f10569f4d3ae8,0x481f225b,0x7d9351db,0x56108f18,0xe83a4d9f,45299b44c56b9370,,0,,
3,2,-3,63,10,no_response,19f53f5e,9b6805d91612cad068d6801ade2af069,0xd905689b,0xd0ca1216,0x1a80d668,0x69f02ade,0ff7ff1e8b8fbf1f,,0,,
4,2,-3,63,10,fault,529d37bd,5a32213258d196f230477176716cf5a6,0x3221325a,0xf296d158,0x76714730,0xa6f56c71,02dda31f02fe27df,1002213250202122,8,0;1;2;3;4;5;6;7,12;df;82;2d;52;de;06;fd
5,2,-3,63,10,normal,95ba834f,fafe5cc40afcde7b40ba007ce02da718,0xc45cfefa,0x7bdefc0a,0x7c00ba40,0x18a72de0,9596055735948773,9596055735948773,0,,
6,2,-3,63,10,fault,78016901,a2ed0221ac3bb539f6e148b2f6a0d034,0x2102eda2,0x39b53bac,0xb248e1f6,0x34d0a0f6,dc21f931dc616931,a420903006cc0211,8,0;1;2;3;4;5;6;7,78;01;69;01;da;ad;6b;20
7,2,-3,63,10,normal,bd5e87c4,cd8b027d68731f060e8131136195ad46,0x7d028bcd,0x061f7368,0x1331810e,0x46ad9561,dd4f8ac2f85f9693,dd4f8ac2f85f9693,0,,
8,2,-3,63,10,normal,a325b162,125e8d5351093e325bfc23c048cf3ee7,0x538d5e12,0x323e0951,0xc023fc5b,0xe73ecf48,e32c8f40e03f9e61,e32c8f40e03f9e61,0,,
9,2,-3,63,10,fault,fe36e374,9929931170fd4f2b4e59f4277826d836,0x11932999,0x2b4ffd70,0x27f4594e,0x36d82678,8e12ab56ae46a746,702448223ea4bb04,8,0;1;2;3;4;5;6;7,fe;36;e3;74;90;e2;1c;42
10,2,-3,63,10,fault,11b52a86,ebea611e036861169de58dd83b7a660d,0x1e61eaeb,0x16616803,0xd88de59d,0x0d667a3b,12dd4a82b25f4a82,036860043adf4a8a,7,0;1;2;3;4;5;7,11;b5;2a;86;88;80;08
