trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
750,2,-6,62,1,fault,00000000,7a13ba5a5939e49f8a7d250d5b20cb95,0x5aba137a,0x9fe43959,0x0d257d8a,0x95cb205b,5920c09558288e15,0019240a00312b0f,8,0;1;2;3;4;5;6;7,59;39;e4;9f;58;19;a5;1a
751,2,-6,62,1,fault,00000000,6f02b07ee71e3a1d63cde6eec2135feb,0x7eb0026f,0x1d3a1ee7,0xeee6cd63,0xeb5f13c2,c2121a09420e9208,c2121a09630c220c,4,4;5;6;7,21;02;b0;04
752,2,-6,62,1,fault,00000000,54345705f556fcad929f23d802493764,0x05573454,0xadfc56f5,0xd8239f92,0x64374902,004034248002348c,0040342490162088,4,4;5;6;7,10;14;14;04
753,2,-6,62,1,normal,00000000,5a667880b1a0337b589324afc70d25d2,0x8078665a,0x7b33a0b1,0xaf249358,0xd2250dc7,810021520a86202b,810021520a86202b,0,,
754,2,-6,62,1,fault,00000000,3188d41700757075d49c4f0cac654898,0x17d48831,0x75707500,0x0c4f9cd4,0x984865ac,00654010309c4410,0065401000144004,4,4;5;6;7,30;88;04;14
755,2,-6,62,1,fault,00000000,ccba4a44a88dc0d345582237e50caded,0x444abacc,0xd3c08da8,0x37225845,0xedad0ce5,a00c80c180180a53,a00c80c100080013,4,4;5;6;7,80;10;0a;40
756,2,-6,62,1,fault,00000000,d8af20f95ca9620b94894e66d6dcf06a,0xf920afd8,0x0b62a95c,0x664e8994,0x6af0dcd6,5488600a548c620a,5488600a14894202,4,4;5;6;7,40;05;20;08
757,2,-6,62,1,fault,00000000,6a7fea2fcd8463ef04ca651f207a4f03,0x2fea7f6a,0xef6384cd,0x1f65ca04,0x034f7a20,0000430324b04b03,000043030480610f,4,4;5;6;7,20;30;2a;0c
758,2,-6,62,1,fault,00000000,897a7daad1d8c30c49c4327b7197fde0,0xaa7d7a89,0x0cc3d8d1,0x7b32c449,0xe0fd9771,5190c10049924f82,5190c10041c00208,4,4;5;6;7,08;52;4d;8a
759,2,-6,62,1,normal,00000000,d555ad53e0a466d4b81d687030c6d95f,0x53ad55d5,0xd466a4e0,0x70681db8,0x5fd9c630,208440542055c153,208440542055c153,0,,
760,2,-6,62,1,fault,00000000,802aceed7480457e8eb474518f3e1a13,0xedce2a80,0x7e458074,0x5174b48e,0x131a3e8f,04000012048a0a10,0400001204804450,3,5;6;7,0a;4e;40
761,2,-6,62,1,fault,00000000,dccb7df8295480de46d69075b8a77640,0xf87dcbdc,0xde805429,0x7590d646,0x4076a7b8,28040040dc15e464,0150809e2b14808f,8,0;1;2;3;4;5;6;7,29;54;80;de;f7;01;64;eb
762,2,-6,62,1,normal,00000000,04971c9886337c75416e1791858eff0b,0x981c9704,0x757c3386,0x91176e41,0x0bff8e85,84027c0104a21c89,84027c0104a21c89,0,,
763,2,-6,62,1,fault,00000000,7ceb732fd71b6fa86190af3f272bb903,0x2f73eb7c,0xa86f1bd7,0x3faf9061,0x03b92b27,070b290005bb3d04,070b290041102f28,4,4;5;6;7,44;ab;12;2c
764,2,-6,62,1,normal,00000000,9dc0957c9f6235ae78e91eb2358dcfa1,0x7c95c09d,0xae35629f,0xb21ee978,0xa1cf8d35,150005a0152085b2,150005a0152085b2,0,,
765,2,-6,62,1,fault,00000000,bf3d672c1c16c141bd34583b1b27cd5d,0x2c673dbf,0x41c1161c,0x3b5834bd,0x5dcd271b,1806c141ba054525,1806c1411c144001,4,4;5;6;7,a6;11;05;24
766,2,-6,62,1,fault,00000000,2cb289114d347f067866db31bc1433e5,0x1189b22c,0x067f344d,0x31db6678,0xe53314bc,0c1433044c16d310,0c14330448245b00,4,4;5;6;7,04;32;88;10
