trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
442,3,-6,62,5,fault,749a1556,e8405e7538810b55b3ba163c766b4825,0x755e40e8,0x550b8138,0x3c16bab3,0x25486b76,449b1d53845a4953,00000000441a1742,8,0;1;2;3;4;5;6;7,44;9b;1d;53;c0;40;5e;11
443,3,-6,62,5,fault,1c4eba2c,a7879a6b1594575e8d058334ffabd719,0x6b9a87a7,0x5e579415,0x3483058d,0x19d7abff,09ceed343bcca911,0000000088018020,8,0;1;2;3;4;5;6;7,09;ce;ed;34;b3;cd;29;31
444,3,-6,62,5,fault,ff82c962,36c38ed5420d8d149d62524de2dff9b5,0xd58ec336,0x148d0d42,0x4d52629d,0xb5f9dfe2,bd8f4076c90343b6,00000000ff82c966,8,0;1;2;3;4;5;6;7,bd;8f;40;76;36;81;8a;d0
445,3,-6,62,5,fault,9c172007,fa5b8ee230cbbc29448c5bb098da9576,0xe28e5bfa,0x29bccb30,0xb05b8c44,0x7695da98,8cddb42744cdb6e5,000000009c9f3827,8,0;1;2;3;4;5;6;7,8c;dd;b4;27;d8;52;8e;c2
446,3,-6,62,5,fault,e23c6bb7,6b2fe6702932ed86615023822d4937c5,0x70e62f6b,0x86ed3229,0x82235061,0xc537492d,cb3c4e338b254e75,0000000040400200,8,0;1;2;3;4;5;6;7,cb;3c;4e;33;cb;65;4c;75
447,3,-6,62,5,fault,74159e32,ce7cd5475ef2990e084f7da914575813,0x47d57cce,0x0e99f25e,0xa97d4f08,0x13585714,60478630704f8238,000000007c57873a,8,0;1;2;3;4;5;6;7,60;47;86;30;0c;18;05;02
448,3,-6,62,5,fault,57528546,3ca2f5253de6de183186a2a0729c05aa,0x25f5a23c,0x18dee63d,0xa0a28631,0xaa059c72,67d6814e66d6a246,0000000066d40746,6,0;1;2;3;5;6,67;d6;81;4e;02;a5
449,3,-6,62,5,fault,cb9ae95a,dc9cf12eb0f9ecc42752967e04d273d6,0x2ef19cdc,0xc4ecf9b0,0x7e965227,0xd673d204,cb4a899eeb4a8c36,000000000702123a,8,0;1;2;3;4;5;6;7,cb;4a;89;9e;ec;48;9e;0c
450,3,-6,62,5,fault,681d6c1d,b429e909ed4cd0e7ab9b0962c5cd766f,0x09e929b4,0xe7d04ced,0x62099bab,0x6f76cdc5,ad513c7ae5150576,00000000c1156c7f,7,0;1;2;3;4;6;7,ad;51;3c;7a;24;69;09
451,3,-6,62,5,fault,8fb4d631,35870fc26a8f01afe99538f36105033e,0xc20f8735,0xaf018f6a,0xf33895e9,0x3e030561,efb1d71fe7b1dd52,00000000e731d692,7,0;1;2;3;5;6;7,ef;b1;d7;1f;80;0b;c0
452,3,-6,62,5,fault,019d7061,63a2579b2a55ab60ff8449772cd391ac,0x9b57a263,0x60ab552a,0x774984ff,0xac91d32c,29ccf141689b299a,000000002b997901,8,0;1;2;3;4;5;6;7,29;cc;f1;41;43;02;50;9b
453,3,-6,62,5,fault,86a9a054,da12616f2b7e656c26f0a96b289957a6,0x6f6112da,0x6c657e2b,0x6ba9f026,0xa6579928,aeb1e570aed9e171,0000000004808803,8,0;1;2;3;4;5;6;7,ae;b1;e5;70;aa;59;69;72
454,3,-6,62,5,fault,e30549ed,286fe6f453cb4dc4deaa09d4daf13d86,0xf4e66f28,0xc44dcb53,0xd409aade,0x863df1da,b1c44469b1c46479,000000008c200010,8,0;1;2;3;4;5;6;7,b1;c4;44;69;3d;e4;64;69
455,3,-6,62,5,fault,e6bcffc8,ac84d420e82f728b945dac4fb2e85ca3,0x20d484ac,0x8b722fe8,0x4fac5d94,0xa35ce8b2,4694af4b42350fe3,0000000014508c44,8,0;1;2;3;4;5;6;7,46;94;af;4b;56;65;83;a7
456,3,-6,62,5,fault,beeac2e0,402a2826a70357d80901bf033d39dae0,0x26282a40,0xd85703a7,0x03bf0109,0xe0da393d,9beb9020bfc3f5c2,000000000800a803,8,0;1;2;3;4;5;6;7,9b;eb;90;20;b7;c3;5d;c1
457,3,-6,62,5,fault,06181d02,15cc110fd271b820d2ecf63fc92af2da,0x0f11cc15,0x20b871d2,0x3ff6ecd2,0xdaf22ac9,c638ad02c5bcad27,00000000d478ad22,7,0;1;2;3;4;5;7,c6;38;ad;02;11;c4;05
458,3,-6,62,5,fault,e7438f94,32969cdb748c02ba365c1c263220d0e9,0xdb9c9632,0xba028c74,0x261c5c36,0xe9d02032,d7438f3cd35b037d,0000000002501c04,8,0;1;2;3;4;5;6;7,d7;43;8f;3c;d1;0b;1f;79
459,3,-6,62,5,fault,2175d8dd,1d9965d0dd5ff6107a02bcd2ffe8ef10,0xd065991d,0x10f65fdd,0xd2bc027a,0x10efe8ff,fc3d3ecd7cff2d0d,fc3d3ecd79776ccd,4,4;5;6;7,05;88;41;c0
460,3,-6,62,5,fault,21818277,6790eaa6ccfb55c64bad10ad979c6dc4,0xa6ea9067,0xc655fbcc,0xad10ad4b,0xc46d9c97,a519c7b32d38fad3,00000000692892f3,8,0;1;2;3;4;5;6;7,a5;19;c7;b3;44;10;68;20
461,3,-6,62,5,fault,fed2002c,5ad9a36724ca99f580d13a0d54b79306,0x67a3d95a,0xf599ca24,0x0d3ad180,0x0693b754,fa509128ae52b92a,00000000fe121829,8,0;1;2;3;4;5;6;7,fa;50;91;28;50;40;a1;03
462,3,-6,62,5,fault,f83bd1e1,3e60e44a8092d5a1d4d1a21f7a36f1d6,0x4ae4603e,0xa1d59280,0x1fa2d1d4,0xd6f1367a,f829006156cb11a8,000000005441221e,7,0;1;3;4;5;6;7,f8;29;61;02;8a;33;b6
463,3,-6,62,5,fault,e0d03b56,775a7d4c1b011d15f2f417f332c8c8c0,0x4c7d5a77,0x151d011b,0xf317f4f2,0xc0c8c832,f2d03356b2c87347,00000000e0f402e2,8,0;1;2;3;4;5;6;7,f2;d0;33;56;52;3c;71;a5
464,3,-6,62,5,fault,c7a9683d,f3c99de8269bad92a983a5ae6f98dba3,0xe89dc9f3,0x92ad9b26,0xaea583a9,0xa3db986f,e131e1bf2523d1b7,000000008900002c,8,0;1;2;3;4;5;6;7,e1;31;e1;bf;ac;23;d1;9b
465,3,-6,62,5,fault,bbc55823,07ef9db9cb381393345fda109f7d6c2f,0xb99def07,0x931338cb,0x10da5f34,0x2f6c7d9f,30fd5820b8ffde0a,000000003447c800,8,0;1;2;3;4;5;6;7,30;fd;58;20;8c;b8;16;0a
466,3,-6,62,5,fault,5e47da9a,b63e5e8d0fee3cf1178c9b99c2633af8,0x8d5e3eb6,0xf13cee0f,0x999b8c17,0xf83a63c2,5c25e26acde5c20a,0000000010008308,8,0;1;2;3;4;5;6;7,5c;25;e2;6a;dd;e5;41;02
467,3,-6,62,5,fault,5659021d,64bad89cda9f42b23e8f125bdaa59d29,0x9cd8ba64,0xb2429fda,0x5b128f3e,0x299da5da,8cdc023d28fc881f,000000004cd6000f,8,0;1;2;3;4;5;6;7,8c;dc;02;3d;64;2a;88;10
468,3,-6,62,5,fault,d3559d85,57ce6eee48e21a14716b8fb0cd042743,0xee6ece57,0x141ae248,0xb08f6b71,0x432704cd,9b559f858779bf77,00000000310985a0,8,0;1;2;3;4;5;6;7,9b;55;9f;85;b6;70;3a;d7
469,3,-6,62,5,fault,cefcb3fe,7008cb08a70e20c775158574cda3f7df,0x08cb0870,0xc7200ea7,0x74851575,0xdff7a3cd,4bfe9339dbf8f1b2,00000000ebf8b3ba,7,0;1;2;3;4;6;7,4b;fe;93;39;30;42;08
470,3,-6,62,5,fault,a7cb6bf3,a70b422085e396356e106dbcc6a9ec94,0x20420ba7,0x3596e385,0xbc6d106e,0x94eca9c6,236aefe703c26fe7,000000006a106988,8,0;1;2;3;4;5;6;7,23;6a;ef;e7;69;d2;06;6f
471,3,-6,62,5,fault,858d06ef,6d6b7219efe3a3b4e71590ba0e5219ad,0x19726b6d,0xb4a3e3ef,0xba9015e7,0xad19520e,8bcf074b0bcf864e,00000000628c865f,7,0;1;2;3;4;5;7,8b;cf;07;4b;69;43;11
472,3,-6,62,5,fault,ad0da929,95e7e646d37a2e9b5d3c4c6b9f086241,0x46e6e795,0x9b2e7ad3,0x6b4c3c5d,0x4162089f,3e058b287c118320,000000000c044060,8,0;1;2;3;4;5;6;7,3e;05;8b;28;70;15;c3;40
473,3,-6,62,5,fault,2a49cf2b,711b31056a770fafb903eaebabdb4560,0x05311b71,0xaf0f776a,0xebea03b9,0x6045dbab,001aca0b1252e481,00000000024ac580,7,1;2;3;4;5;6;7,1a;ca;0b;10;18;21;01
474,3,-6,62,5,fault,b3dfae80,9c4996cd4487e622fd19be18014afa06,0xcd96499c,0x22e68744,0x18be19fd,0x06fa4a01,b3dd4c826b9f0c8c,00000000f7de0880,8,0;1;2;3;4;5;6;7,b3;dd;4c;82;9c;41;04;0c
475,3,-6,62,5,fault,6768ccaa,31675c1a1635f9c58481269245f1c3d9,0x1a5c6731,0xc5f93516,0x92268184,0xd9c3f145,63590d6b6209a820,000000006369ec2a,8,0;1;2;3;4;5;6;7,63;59;0d;6b;01;60;44;0a
