trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
199,2,-6,62,1,fault,b6e61cc7,9d7a5628210fcd683e99543e2e95b233,0x28567a9d,0x68cd0f21,0x3e54993e,0x33b2952e,96e39ce786e71ee7,96e39ce796ef58ef,4,4;5;6;7,10;08;46;08
200,2,-6,62,1,fault,65768504,b3bac2a0a30183e9a44dce978ad94cd3,0xa0c2bab3,0xe98301a3,0x97ce4da4,0xd34cd98a,e77785c5e7e78585,e77785c5c5770785,3,4;5;6,22;90;82
201,2,-6,62,1,fault,f9718803,6ed8ad068c6c1b4b0139740917d67404,0x06add86e,0x4b1b6c8c,0x09743901,0x0474d617,fd359803ff91980e,fd359803f959980a,3,4;5;7,06;c8;04
202,2,-6,62,1,fault,8788b7ce,218476ae0f367a8b08a619ddcbcc5f38,0xae768421,0x8b7a360f,0xdd19a608,0x385fcccb,8c8cedc68eaee9e3,8c8cedc68faeaf47,3,4;6;7,01;46;a4
203,2,-6,62,1,normal,cc52fdc8,8763133a3f6e8f04cce39b764814d3b0,0x3a136387,0x048f6e3f,0x769be3cc,0xb0d31448,c4567ec8445376ce,c4567ec8445376ce,0,,
204,2,-6,62,1,fault,1f53572e,1a0f34aa090f998b66adf716ab55d008,0xaa340f1a,0x8b990f09,0x16f7ad66,0x08d055ab,1656c7261756e226,1656c7261f5ec62c,4,4;5;6;7,08;08;24;0a
205,2,-6,62,1,fault,dcec625c,3c85fc2872f56f044e8ba8f898e4ca00,0x28fc853c,0x046ff572,0xf8a88b4e,0x00cae498,cc08285c8a682a74,cc08285c9e6d4a5c,4,4;5;6;7,14;05;60;28
206,2,-6,62,1,normal,c5e18893,9aab0b7ff2008b5e7a7e1612354561b9,0x7f0bab9a,0x5e8b00f2,0x12167e7a,0xb9614535,f5e1898bbdca89aa,f5e1898bbdca89aa,0,,
207,2,-6,62,1,fault,2f0fe147,80ec266a762cf784faa810e96cb4b75e,0x6a26ec80,0x84f72c76,0xe910a8fa,0x5eb7b46c,4b2b5643dd2bd7e5,4b2b56435d27f1c7,4,4;5;6;7,80;0c;26;22
208,2,-6,62,1,fault,db067e7d,260937bef3b87d165a37f85ef5421851,0xbe370926,0x167db8f3,0x5ef8375a,0x511842f5,2a06666daf372665,02b86506f9becd40,8,0;1;2;3;4;5;6;7,28;be;03;6b;56;89;eb;25
