trial,width,offset,ext_offset,repeat,status,model_match,randomness_word_hex,randomness_bytes_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_hw_output,expected_sw_output,glitched_output,expected_fault_model_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex,expected_z0,expected_z1,glitched_z0,glitched_z1,model_fault_z0,model_fault_z1
60,-10,14,67,1,fault,other_fault,0x00750a61,610a7500,1f624968cdf90cb7ed9bceaa53c1091d,0x6849621f,0xb70cf9cd,0xaace9bed,0x1d09c153,20cb7d15b2d13882,20cb7d15b2d13882,41c108159f180dbf,20cb7d150d024828,7,0;1;2;4;5;6;7,61;0a;75;2d;c9;35;3d,0x157dcb20,0x8238d1b2,0x1508c141,0xbf0d189f,0x157dcb20,0x2848020d
61,-10,14,67,1,fault,other_fault,0x839ba48b,8ba49b83,286a1c28a7559f2472cc26ad94fc1753,0x281c6a28,0x249f55a7,0xad26cc72,0x5317fc94,0ff08c8389c08d8f,0ff08c8389c08d8f,84541700a6780524,0ff08c8320480428,8,0;1;2;3;4;5;6;7,8b;a4;9b;83;2f;b8;88;ab,0x838cf00f,0x8f8dc089,0x00175484,0x240578a6,0x838cf00f,0x28044820
62,-10,14,67,1,fault,other_fault,0x241812bb,bb121824,a5538adea466a963916bf1c98a9dff10,0xde8a53a5,0x63a966a4,0xc9f16b91,0x10ff9d8a,3b16b1243a22b3bd,3b16b1243a22b3bd,8004a90080778251,3b16b124814380c8,8,0;1;2;3;4;5;6;7,bb;12;18;24;ba;55;31;ec,0x24b1163b,0xbdb3223a,0x00a90480,0x51827780,0x24b1163b,0xc8804381
63,-10,14,67,1,fault,other_fault,0x8256e13e,3ee15682,010e375e1472fcf2a0ff3ea3c1b280cf,0x5e370e01,0xf2fc7214,0xa33effa0,0xcf80b2c1,3ed3d6403f9f5c6c,3ed3d6403f9f5c6c,003280c20142bc2e,3ed3d640000e3602,8,0;1;2;3;4;5;6;7,3e;e1;56;82;3e;dd;e0;42,0x40d6d33e,0x6c5c9f3f,0xc2803200,0x2ebc4201,0x40d6d33e,0x02360e00
64,-10,14,67,1,fault,other_fault,0x31e23d89,893de231,ae076e296a33d772ccdbeaea1c888da4,0x296e07ae,0x72d7336a,0xeaeadbcc,0xa48d881c,813d6711412d465b,813d6711412d465b,080085204c134b62,813d67118c036a28,8,0;1;2;3;4;5;6;7,89;3d;e2;31;0d;3e;0d;39,0x11673d81,0x5b462d41,0x20850008,0x624b134c,0x11673d81,0x286a038c
65,-10,14,67,1,fault,other_fault,0x8a889f97,979f888a,8aa7c5e5777f7f7e9556e0a8d200c176,0xe5c5a78a,0x7e7f7f77,0xa8e05695,0x76c100d2,c59fc9fc80cfe966,c59fc9fc80cfe966,52004176c556e03a,c59fc9fc8006c0a0,8,0;1;2;3;4;5;6;7,97;9f;88;8a;45;99;09;5c,0xfcc99fc5,0x66e9cf80,0x76410052,0x3ae056c5,0xfcc99fc5,0xa0c00680
66,-10,14,67,1,fault,other_fault,0xb379d200,00d279b3,18804d3de833034a26bcfdbb30791b56,0x3d4d8018,0x4a0333e8,0xbbfdbc26,0x561b7930,20e37af130623c94,20e37af130623c94,2031034210010b5c,20e37af100804d39,7,1;2;3;4;5;6;7,d2;79;b3;20;63;37;c8,0xf17ae320,0x943c6230,0x42033120,0x5c0b0110,0xf17ae320,0x394d8000
67,-10,14,67,1,fault,other_fault,0x855780e1,e1805785,881e39d33a281897afd7ad4352f7143b,0xd3391e88,0x9718283a,0x43add7af,0x3b14f752,f3a04796438066d6,f3a04796438066d6,1220101338360803,f3a0479688162943,8,0;1;2;3;4;5;6;7,e1;80;57;85;7b;b6;6e;d5,0x9647a0f3,0xd6668043,0x13102012,0x03083638,0x9647a0f3,0x43291688
68,-10,14,67,1,fault,other_fault,0x6be1e204,04e2e16b,4ed19f432b04a8f6ba6b8070052cede1,0x439fd14e,0xf6a8042b,0x70806bba,0xe1ed2c05,05e6498b20a36c1a,05e6498b20a36c1a,0104a8e02f04a5d1,05e6498b0a418040,8,0;1;2;3;4;5;6;7,04;e2;e1;6b;0f;a7;c9;cb,0x8b49e605,0x1a6ca320,0xe0a80401,0xd1a5042f,0x8b49e605,0x4080410a
69,-10,14,67,1,fault,other_fault,0x6f8c700f,0f708c6f,7924f971b106d73ee33569aedd2ff721,0x71f92479,0x3ed706b1,0xae6935e3,0x21f72fdd,9e765b4f96745540,9e765b4f96745540,9106d7206926672f,9e765b4f61246920,8,0;1;2;3;4;5;6;7,0f;70;8c;6f;ff;52;32;6f,0x4f5b769e,0x40557496,0x20d70691,0x2f672669,0x4f5b769e,0x20692461
70,-10,14,67,1,fault,other_fault,0x9c4c40ef,ef404c9c,276977c246fe00999a2a25f4d3da760a,0xc2776927,0x9900fe46,0xf4252a9a,0x0a76dad3,ad9a4c94ec0a1fce,ad9a4c94ec0a1fce,42da000843b8769a,ad9a4c94022825c0,8,0;1;2;3;4;5;6;7,ef;40;4c;9c;af;b2;69;54,0x944c9aad,0xce1f0aec,0x0800da42,0x9a76b843,0x944c9aad,0xc0252802
71,-10,14,67,1,fault,other_fault,0xb4bb7468,6874bbb4,b222f0fd78d68dc4e9635e986aa0e659,0xfdf022b2,0xc48dd678,0x985e63e9,0x59e6a06a,00f43ff4823407f5,00f43ff4823407f5,6880844022e26899,00f43ff4a0225098,8,0;1;2;3;4;5;6;7,68;74;bb;b4;a0;d6;6f;6c,0xf43ff400,0xf5073482,0x40848068,0x9968e222,0xf43ff400,0x985022a0
72,-10,14,67,1,fault,other_fault,0xbc621e9d,9d1e62bc,2a9ea1416ca28270615f678ec81dc85c,0x41a19e2a,0x7082a26c,0x8e675f61,0x5cc81dc8,d51ee2ecd51ec1fc,d51ee2ecd51ec1fc,48008050201e0210,d51ee2ec201e2100,7,0;1;2;3;4;6;7,9d;1e;62;bc;f5;c3;ec,0xece21ed5,0xfcc11ed5,0x50800048,0x10021e20,0xece21ed5,0x00211e20
