width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
-48,-48,78,1,normal,010716050d031201,010716050d031201,0,
-48,-48,79,1,normal,010716050d031201,010716050d031201,0,
-48,-48,80,1,normal,010716050d031201,010716050d031201,0,
-48,-48,81,1,normal,010716050d031201,010716050d031201,0,
-48,-48,82,1,normal,010716050d031201,010716050d031201,0,
-48,-48,83,1,normal,010716050d031201,010716050d031201,0,
-48,-48,84,1,normal,010716050d031201,010716050d031201,0,
-48,-48,85,1,normal,010716050d031201,010716050d031201,0,
-48,-48,86,1,normal,010716050d031201,010716050d031201,0,
-48,-48,87,1,normal,010716050d031201,010716050d031201,0,
-48,-48,88,1,normal,010716050d031201,010716050d031201,0,
-48,-48,89,1,normal,010716050d031201,010716050d031201,0,
-48,-48,90,1,normal,010716050d031201,010716050d031201,0,
-48,-47,78,1,normal,010716050d031201,010716050d031201,0,
-48,-47,79,1,normal,010716050d031201,010716050d031201,0,
-48,-47,80,1,normal,010716050d031201,010716050d031201,0,
-48,-47,81,1,normal,010716050d031201,010716050d031201,0,
-48,-47,82,1,normal,010716050d031201,010716050d031201,0,
-48,-47,83,1,normal,010716050d031201,010716050d031201,0,
-48,-47,84,1,normal,010716050d031201,010716050d031201,0,
-48,-47,85,1,normal,010716050d031201,010716050d031201,0,
-48,-47,86,1,normal,010716050d031201,010716050d031201,0,
-48,-47,87,1,normal,010716050d031201,010716050d031201,0,
-48,-47,88,1,normal,010716050d031201,010716050d031201,0,
-48,-47,89,1,normal,010716050d031201,010716050d031201,0,
-48,-47,90,1,normal,010716050d031201,010716050d031201,0,
-48,-46,78,1,normal,010716050d031201,010716050d031201,0,
-48,-46,79,1,normal,010716050d031201,010716050d031201,0,
-48,-46,80,1,normal,010716050d031201,010716050d031201,0,
-48,-46,81,1,normal,010716050d031201,010716050d031201,0,
-48,-46,82,1,normal,010716050d031201,010716050d031201,0,
-48,-46,83,1,normal,010716050d031201,010716050d031201,0,
-48,-46,84,1,normal,010716050d031201,010716050d031201,0,
-48,-46,85,1,normal,010716050d031201,010716050d031201,0,
-48,-46,86,1,normal,010716050d031201,010716050d031201,0,
-48,-46,87,1,normal,010716050d031201,010716050d031201,0,
-48,-46,88,1,normal,010716050d031201,010716050d031201,0,
-48,-46,89,1,normal,010716050d031201,010716050d031201,0,
-48,-46,90,1,normal,010716050d031201,010716050d031201,0,
-48,-45,78,1,normal,010716050d031201,010716050d031201,0,
-48,-45,79,1,normal,010716050d031201,010716050d031201,0,
-48,-45,80,1,normal,010716050d031201,010716050d031201,0,
-48,-45,81,1,normal,010716050d031201,010716050d031201,0,
-48,-45,82,1,normal,010716050d031201,010716050d031201,0,
-48,-45,83,1,normal,010716050d031201,010716050d031201,0,
-48,-45,84,1,normal,010716050d031201,010716050d031201,0,
-48,-45,85,1,normal,010716050d031201,010716050d031201,0,
-48,-45,86,1,normal,010716050d031201,010716050d031201,0,
-48,-45,87,1,normal,010716050d031201,010716050d031201,0,
-48,-45,88,1,normal,010716050d031201,010716050d031201,0,
-48,-45,89,1,normal,010716050d031201,010716050d031201,0,
-48,-45,90,1,normal,010716050d031201,010716050d031201,0,
-48,-44,78,1,normal,010716050d031201,010716050d031201,0,
-48,-44,79,1,normal,010716050d031201,010716050d031201,0,
-48,-44,80,1,normal,010716050d031201,010716050d031201,0,
-48,-44,81,1,normal,010716050d031201,010716050d031201,0,
-48,-44,82,1,normal,010716050d031201,010716050d031201,0,
-48,-44,83,1,normal,010716050d031201,010716050d031201,0,
-48,-44,84,1,normal,010716050d031201,010716050d031201,0,
-48,-44,85,1,normal,010716050d031201,010716050d031201,0,
-48,-44,86,1,normal,010716050d031201,010716050d031201,0,
-48,-44,87,1,normal,010716050d031201,010716050d031201,0,
-48,-44,88,1,normal,010716050d031201,010716050d031201,0,
