trial,width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
99,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
100,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
101,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
102,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
103,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
104,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
105,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
106,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
107,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
108,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
109,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
110,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
111,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
112,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
113,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
114,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
115,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
116,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
117,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
118,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
119,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
120,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
121,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
122,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
123,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
124,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
125,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
126,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
127,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
128,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
129,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
130,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
131,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
132,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
133,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
134,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
135,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
136,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
137,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
138,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
139,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
140,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
141,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
142,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
143,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
144,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
145,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
