trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
1,2,-40,64,5,normal,01ca31de,789b8bb03bb0c44543d9a9843febafd0,0xb08b9b78,0x45c4b03b,0x84a9d943,0xd0afeb3f,3a6ab59e7a48b3ca,3a6ab59e7a48b3ca,0,,
2,2,-40,64,5,normal,6ce0b34c,656ae72a1d13484152a7a32fa9627298,0x2ae76a65,0x4148131d,0x2fa3a752,0x987262a9,65e2f34c1da3726f,65e2f34c1da3726f,0,,
3,2,-40,64,5,normal,2204cf5a,0ac90b55951ef3bbd06225802625283c,0x550bc90a,0xbbf31e95,0x802562d0,0x3c282526,2600ef62b047e7ce,2600ef62b047e7ce,0,,
4,2,-40,64,5,normal,205a525c,6eeec283272b9b6d2576e730ef8f1e6a,0x83c2ee6e,0x6d9b2b27,0x30e77625,0x6a1e8fef,075148344f90117e,075148344f90117e,0,,
5,2,-40,64,5,normal,408f6e4e,c10463c3259c86c86edea2041eb6eb55,0xc36304c1,0xc8869c25,0x04a2de6e,0x55ebb61e,441bec0e2413ad0f,441bec0e2413ad0f,0,,
6,2,-40,64,5,normal,05e722f5,c33d8c8655382d59b6be490518739baf,0x868c3dc3,0x592d3855,0x0549beb6,0xaf9b7318,15d72bfc93d2ab76,15d72bfc93d2ab76,0,,
7,2,-40,64,5,normal,9d602057,e2f1aaaad8818dce585a4954cebde084,0xaaaaf1e2,0xce8d81d8,0x54495a58,0x84e0bdce,55e1a0d347818193,55e1a0d347818193,0,,
8,2,-40,64,5,normal,65c37b50,974aada99694a5c85dc475f6073dc50d,0xa9ad4a97,0xc8a59496,0xf675c45d,0x0dc53d07,63d7fe58630ffe39,63d7fe58630ffe39,0,,
9,2,-40,64,5,normal,b4e0ed2d,6ef122bdfabc2f2cc8d9200376a44e13,0xbd22f16e,0x2c2fbcfa,0x0320d9c8,0x134ea476,c644e32d5209ef3d,c644e32d5209ef3d,0,,
10,2,-40,64,5,normal,2e977896,de7880e7d3dc8192d91b258a7d06f303,0xe78078de,0x9281dcd3,0x8a251bd9,0x03f3067d,7f93f9947b97f995,7f93f9947b97f995,0,,
11,2,-40,64,5,normal,43bcdb31,b933bedd99f053aa13b98c1875b07eb1,0xddbe33b9,0xaa53f099,0x188cb913,0xb17eb075,520c8991720d69b0,520c8991720d69b0,0,,
12,2,-40,64,5,normal,da2e839f,3644572c66694d8be4f759bf4f1e20cf,0x2c574436,0x8b4d6966,0xbf59f7e4,0xcf201e4f,9c2683149c0f9b34,9c2683149c0f9b34,0,,
13,2,-40,64,5,normal,47a641e9,8d6f059e27bb31ec6a0bdbde029079fd,0x9e056f8d,0xec31bb27,0xdedb0b6a,0xfd799002,453670056da65027,453670056da65027,0,,
14,2,-40,64,5,normal,e55b903f,4b6f2acd999fc2669113b6c8cdb8c8c9,0xcd2a6f4b,0x66c29f99,0xc8b61391,0xc9c8b8cd,6cc3507f3c63387e,6cc3507f3c63387e,0,,
15,2,-40,64,5,normal,32ab3d6b,2be8ac40e64bfba9ec9699c8c209ffce,0x40ace82b,0xa9fb4be6,0xc89996ec,0xceff09c2,f0a2c6e3fc2180e3,f0a2c6e3fc2180e3,0,,
16,2,-40,64,5,normal,cb68af3f,cfffa0cebcfac06e1b7bb399bf75a6c3,0xcea0ffcf,0x6ec0fabc,0x99b37b1b,0xc3a675bf,77182f7d571c2f7d,77182f7d571c2f7d,0,,
17,2,-40,64,5,normal,e4b6a379,a0508163b5c1c9aaef21619cc387ceda,0x638150a0,0xaac9c1b5,0x9c6121ef,0xdace87c3,65376bf361b763b3,65376bf361b763b3,0,,
18,2,-40,64,5,normal,de558c68,45c456f925382044b74ede68858a3ca1,0xf956c445,0x44203825,0x68de4eb7,0xa13c8a85,db5dac68fb99cee1,db5dac68fb99cee1,0,,
19,2,-40,64,5,normal,93222b45,8101ee3f45a001fe469f8efeb4f33331,0x3fee0181,0xfe01a045,0xfe8e9f46,0x3133f3b4,97822a7557a287b4,97822a7557a287b4,0,,
20,2,-40,64,5,normal,94d53a19,e78681411785884d07b17c82fffb5037,0x418186e7,0x4d888517,0x827cb107,0x3750fbff,83543a1c73563218,83543a1c73563218,0,,
21,2,-40,64,5,normal,ff10af71,1c4e5348d8e16670128dd636760dc52f,0x48534e1c,0x7066e1d8,0x36d68d12,0x2fc50d76,af11eb51eb91fa49,af11eb51eb91fa49,0,,
22,2,-40,64,5,fault,45a22b4d,3b4b58985afd6b80126769a44aae0292,0x98584b3b,0x806bfd5a,0xa4696712,0x9202ae4a,0f0e29cd4f8e0add,3b4b58984f8c0af9,6,0;1;2;3;5;7,34;45;71;55;02;24
23,2,-40,64,5,normal,7c7966c5,be9799e9e3a3090431bf167611b03655,0xe99997be,0x0409a3e3,0x7616bf31,0x5536b011,7dd966c17ddd66e0,7dd966c17ddd66e0,0,,
24,2,-40,64,5,normal,e8703b37,f75e640a61bda07f12a54efde45d2cb8,0x0a645ef7,0x7fa0bd61,0xfd4ea512,0xb82c5de4,886d1b0f1e8d5b4a,886d1b0f1e8d5b4a,0,,
25,2,-40,64,5,normal,0b225780,442e7d8b5998d1b2cb4b6c398fba5167,0x8b7d2e44,0xb2d19859,0x396c4bcb,0x6751ba8f,02ba06a2060a2aba,02ba06a2060a2aba,0,,
26,2,-40,64,5,normal,7134ee4b,8d3293d5ab2af6f05484aff33b939509,0xd593328d,0xf0f62aab,0xf3af8454,0x0995933b,5a367a4b7c265a6b,5a367a4b7c265a6b,0,,
27,2,-40,64,5,normal,e20d2ccc,884abde70045ec5b0a0647b6794555fc,0xe7bd4a88,0x5bec4500,0xb647060a,0xfc554579,e2486894e24b789c,e2486894e24b789c,0,,
28,2,-40,64,5,normal,1f5c2d3c,d3a4ff4984c7b5c64d9fdaab37953c85,0x49ffa4d3,0xc6b5c784,0xabda9f4d,0x853c9537,1bd919b849db5bb6,1bd919b849db5bb6,0,,
29,2,-40,64,5,normal,668b0fb4,71159cc1d3703d40c179b91dfd1767ec,0xc19c1571,0x403d70d3,0x1db979c1,0xec6717fd,b79b2af497ffaa75,b79b2af497ffaa75,0,,
30,2,-40,64,5,normal,90da8409,8fbe45248691eb97beca20dfd195306e,0x2445be8f,0x97eb9186,0xdf20cabe,0x6e3095d1,104ba40f1944a4be,104ba40f1944a4be,0,,
31,2,-40,64,5,normal,0f759d5b,5b16ce8d9e8aa62037ae7a39dc2db66e,0x8dce165b,0x20a68a9e,0x397aae37,0x6eb62ddc,937d3b7b52fd737e,937d3b7b52fd737e,0,,
32,2,-40,64,5,normal,353fca5d,f9a714cbdcb3064a45194bcbd9f25ea1,0xcb14a7f9,0x4a06b3dc,0xcb4b1945,0xa15ef2d9,ed8dcc5de98ddc5d,ed8dcc5de98ddc5d,0,,
33,2,-40,64,5,normal,fb05ca71,587562d6549bffe81eef028eee4b20c9,0xd6627558,0xe8ff9b54,0x8e02ef1e,0xc9204bee,bf0eeab9bfaaeabf,bf0eeab9bfaaeabf,0,,
34,2,-40,64,5,normal,6a4e3514,e1661fd48e7ca26a5c10f0a38cffdbbe,0xd41f66e1,0x6aa27c8e,0xa3f0105c,0xbedbff8c,e632b73ea6389e22,e632b73ea6389e22,0,,
35,2,-40,64,5,normal,dd33a441,05daa09d8183c0b02c6acc9e6518f515,0x9da0da05,0xb0c08381,0x9ecc6a2c,0x15f51865,dc336451dc634458,dc336451dc634458,0,,
36,2,-40,64,5,normal,98aa7110,85ad0a685a41e2cabb96d12b71ba48be,0x680aad85,0xcae2415a,0x2bd196bb,0xbe48ba71,c8aa319a0286b91a,c8aa319a0286b91a,0,,
37,2,-40,64,5,normal,bc225327,9ee883aef0a851738f4baa55abb1466f,0xae83e89e,0x7351a8f0,0x55aa4b8f,0x6f46b1ab,1c82134438c2d35c,1c82134438c2d35c,0,,
38,2,-40,64,5,normal,3b093531,ab2bdc3b7f8673bd20418494e0f585f3,0x3bdc2bab,0xbd73867f,0x94844120,0xf385f5e0,5b8d34809b293586,5b8d34809b293586,0,,
39,2,-40,64,5,normal,3d5df07c,533010a016dd8aa75193187adef9586a,0xa0103053,0xa78add16,0x7a189351,0x6a58f9de,2b84f85e2eecf85e,2b84f85e2eecf85e,0,,
40,2,-40,64,5,normal,096f02f9,9849be485a23b1a5582424e0fab7a05a,0x48be4998,0xa5b1235a,0xe0242458,0x5aa0b7fa,534ca2f9d14ea651,534ca2f9d14ea651,0,,
41,2,-40,64,5,normal,c8679912,3c6f6197748eed8a848f89b0aab2f3ab,0x97616f3c,0x8aed8e74,0xb0898f84,0xabf3b2aa,e8e57898e0c47081,e8e57898e0c47081,0,,
42,2,-40,64,5,normal,40c42dc0,99001fe13d31a34767a6cf5c514036d0,0xe11f0099,0x47a3313d,0x5ccfa667,0xd0364051,51c40f8075e4b704,51c40f8075e4b704,0,,
43,2,-40,64,5,normal,f8ce7d56,fe6efc21c8db2ef66061ff67a8d70a6b,0x21fc6efe,0xf62edbc8,0x67ff6160,0x6b0ad7a8,701d773470a9a730,701d773470a9a730,0,,
44,2,-40,64,5,normal,5b3717d1,7aa7409134d0ea540266a9bdb727069d,0x9140a77a,0x54ead034,0xbda96602,0x9d0627b7,6f3715c56b76bfc5,6f3715c56b76bfc5,0,,
45,2,-40,64,5,normal,090d04bb,cd698268b30ec709d5b5eb6210128306,0x688269cd,0x09c70eb3,0x62ebb5d5,0x06831210,190f87bb5d28c7db,190f87bb5d28c7db,0,,
46,2,-40,64,5,normal,9ed2b815,a12ccc35567b618540861e99a0b4a213,0x35cc2ca1,0x85617b56,0x991e8640,0x13a2b4a0,9ee298147ef03494,9ee298147ef03494,0,,
47,2,-40,64,5,normal,2ee16139,2731b2ab2700265d420a561e98a0f80c,0xabb23127,0x5d260027,0x1e560a42,0x0cf8a098,2ee141352ec1c527,2ee141352ec1c527,0,,
48,2,-40,64,5,normal,814e01b0,f215ab7133243683515f6770409f5296,0x71ab15f2,0x83362433,0x70675f51,0x96529f40,814a1332804a06d0,814a1332804a06d0,0,,
49,2,-40,64,5,normal,95c77819,27505dafb4ee9901dda637e4af50fa7e,0xaf5d5027,0x0199eeb4,0xe437a6dd,0x7efa50af,3187e01923312493,3187e01923312493,0,,
50,2,-40,64,5,normal,37e411fb,2adc281cf91ccf1dad36ecbe8de0d114,0x1c28dc2a,0x1dcf1cf9,0xbeec36ad,0x14d1e08d,bee4d0efbe24f5ef,bee4d0efbe24f5ef,0,,
51,2,-40,64,5,normal,385b5213,8b6c7b67f11c42d7a1101bb211657858,0x677b6c8b,0xd7421cf1,0xb21b10a1,0x58786511,295f1243192f33e3,295f1243192f33e3,0,,
52,2,-40,64,5,normal,f597c865,a1d1c8409fe3f8db06a7b3680db0cd2e,0x40c8d1a1,0xdbf8e39f,0x68b3a706,0x2ecdb00d,f837006ff225306d,f837006ff225306d,0,,
53,2,-40,64,5,normal,3218145d,b1d172b895997ea25785d10e144dede7,0xb872d1b1,0xa27e9995,0x0ed18557,0xe7ed4d14,261178ff265974f7,261178ff265974f7,0,,
54,2,-40,64,5,normal,f9657164,821570ff208e022727ee5ac066897928,0xff701582,0x27028e20,0xc05aee27,0x28798966,d9ed7144d9ee538c,d9ed7144d9ee538c,0,,
55,2,-40,64,5,normal,d15d9e77,02b82f65c298d7b0a31b7dba6e77e1c0,0x652fb802,0xb0d798c2,0xba7d1ba3,0xc0e1776e,934d5ff7536dc7a7,934d5ff7536dc7a7,0,,
56,2,-40,64,5,normal,a475d01c,69a0cb3a6531b91240787aa46c842c32,0x3acba069,0x12b93165,0xa47a7840,0x322c846c,c075f80ecce5aa0e,c075f80ecce5aa0e,0,,
57,2,-40,64,5,normal,3fdd6b8c,69f878c149bfb91a27d08e71be0b0486,0xc178f869,0x1ab9bf49,0x718ed027,0x86040bbe,37d66b8e3795eb5d,37d66b8e3795eb5d,0,,
58,2,-40,64,5,normal,2f4e6ae1,427f25df26bbf4632a875b499fc9369c,0xdf257f42,0x63f4bb26,0x495b872a,0x9c36c99f,29c75ee10d831f75,29c75ee10d831f75,0,,
59,2,-40,64,5,normal,fb25f78d,a6e5afa175e0cf806286016ea04dff07,0xa1afe5a6,0x80cfe075,0x6e018662,0x07ff4da0,db65388d196458ac,db65388d196458ac,0,,
60,2,-40,64,5,normal,c527bff6,2d8eb5bc9d040bdcc6936292bca47ef2,0xbcb58e2d,0xdc0b049d,0x926293c6,0xf27ea4bc,5923b5266921a946,5923b5266921a946,0,,
61,2,-40,64,5,normal,61e825ad,6062d566ef44c452753d48e9772002e7,0x66d56260,0x52c444ef,0xe9483d75,0xe7022077,06e825ef04ec25eb,06e825ef04ec25eb,0,,
62,2,-40,64,5,normal,2aec3821,91681aa2ee2cc378db281ec7b2ea6588,0xa21a6891,0x78c32cee,0xc71e28db,0x8865eab2,88c47929e1842063,88c47929e1842063,0,,
63,2,-40,64,5,normal,5b12d15e,73c9509663ceefb4f42198384adb29fc,0x9650c973,0xb4efce63,0x389821f4,0xfc29db4a,19d8f8ea09da49ea,19d8f8ea09da49ea,0,,
64,2,-40,64,5,normal,29724185,170770c9c5a366bfb811b77110e70679,0xc9700717,0xbf66a3c5,0x71b711b8,0x7906e710,29d147bca97557bc,29d147bca97557bc,0,,
65,2,-40,64,5,normal,e945e1ec,7865a37d906e88bf99b497540755882a,0x7da36578,0xbf886e90,0x5497b499,0x2a885507,e90169c661006284,e90169c661006284,0,,
66,2,-40,64,5,normal,f0dc6e1b,b1dec3ae87e58dcd86280c74a5c98473,0xaec3deb1,0xcd8de587,0x740c2886,0x7384c9a5,751dea5a573ce259,751dea5a573ce259,0,,
67,2,-40,64,5,normal,c4f05207,a2e70c55ff9b4c1178ee4733973a2a2b,0x550ce7a2,0x114c9bff,0x3347ee78,0x2b2a3a97,53ea5a061ebe1a06,53ea5a061ebe1a06,0,,
68,2,-40,64,5,normal,a21c188d,9eb7ede89e4daab1ba081e4ae357a52c,0xe8edb79e,0xb1aa4d9e,0x4a1e08ba,0x2ca557e3,2059b8ad2003bbed,2059b8ad2003bbed,0,,
69,2,-40,64,5,normal,f54c683d,c075214781b7f4c3b151e4d724fa3931,0x472175c0,0xc3f4b781,0xd7e451b1,0x3139fa24,f5fe583cf47c8db8,f5fe583cf47c8db8,0,,
70,2,-40,64,5,normal,203ac0cb,528d2b0c2c9b416c9f96ac7dbcd8032c,0x0c2b8d52,0x6c419b2c,0x7dac969f,0x2c03d8bc,0ca2c1e72ea4eba7,0ca2c1e72ea4eba7,0,,
71,2,-40,64,5,normal,9c79631b,a97ba48adef2fd876242d82e74dd9aca,0x8aa47ba9,0x87fdf2de,0x2ed84262,0xca9add74,c8a9fb99de20bb9d,c8a9fb99de20bb9d,0,,
