trial,width,offset,ext_offset,glitch_repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
5,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
6,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
8,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
9,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
10,2,-30,62,1,normal,010607050d020301,010607050d020301,0,
1,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
5,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
6,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
8,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
9,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
10,2,-28,62,1,normal,010607050d020301,010607050d020301,0,
1,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-26,62,1,no_response,010607050d020301,,0,
5,2,-26,62,1,fault,010607050d020301,0800000014080808,8,0;1;2;3;4;5;6;7
6,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
8,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
9,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
10,2,-26,62,1,normal,010607050d020301,010607050d020301,0,
1,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
5,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
6,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
8,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
9,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
10,2,-24,62,1,normal,010607050d020301,010607050d020301,0,
1,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
5,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
6,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
8,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
9,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
10,2,-22,62,1,normal,010607050d020301,010607050d020301,0,
1,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
5,2,-20,62,1,fault,010607050d020301,0800000014080808,8,0;1;2;3;4;5;6;7
6,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-20,62,1,fault,010607050d020301,0800000014080808,8,0;1;2;3;4;5;6;7
8,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
9,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
10,2,-20,62,1,normal,010607050d020301,010607050d020301,0,
1,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
2,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
3,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
4,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
5,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
6,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
7,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
8,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
9,2,-18,62,1,normal,010607050d020301,010607050d020301,0,
